الأسم,الموديل,السعر,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,طرف ثالث,التكميلي (جسم المركبة),المجموع,الدفع
كيا اوبتيما,2014,100000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,75000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1751,3090,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
كيا سورينتو,2007,60000.0,سكني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2500,130000,7+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1050,2740,
هونداي افانتي,2006,43500.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
,,,,,,,,,,,,,,,,,,,
فيات 127,1982,5500.0,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,906,شغال,4+1,إمكانية التقسيط,للبيع فقط,00,"مُكيّف
مسجل CD",467,500,967,
بيجو 208,2014,54000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,38000,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
بي ام دبليو x3,2015,205000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,5+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,3588,4928,
اوبل كورسا,2015,65000.0,بترولي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,١٢٣٤٥٦,٤+١,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1138,2173,
مرسيدس C200,2014,230000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,50000,4+1,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,4026,5365,
,,,,,,,,,,,,,,,,,,,
فورد فيستا,2014,59000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1033,2373,
,,,,,,,,,,,,,,,,,,,
نيسان باترول,2003,84000.0,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,4500,56000,8,إمكانية التقسيط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1471,3160,
فورد ترانزيت,2005,75000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,460000,7+1,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1690,1313,3003,
بيجو 206+,2012,39000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,
سكودا فابيا,2016,73000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1278,2313,
فيات 1998,1998,30000.0,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع أو التبديل,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",670,500,1170,
سكودا فابيا,2012,55000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,,,نقدا فقط,للبيع فقط,,"مُكيّف
مسجل CD
جنطات مغنيسيوم",1035,1000,2035,
